date,m3 yield,m6 yield,y1 yield,y5 yield,y5 inflation indexed,y10 yield,y10 inflation indexed,m3 secondary,m6 secondary,spy,eur_usd
2004-06-24,1.29,1.68,2.11,3.85,1.40,4.66,2.15,1.26,1.64,81.88140106201172,1.2203009128570557
2004-06-25,1.31,1.69,2.14,3.85,1.43,4.66,2.16,1.28,1.65,81.48770141601562,
2004-06-28,1.38,1.77,2.30,3.97,1.52,4.76,2.23,1.36,1.74,81.20852661132812,1.2098042964935303
2004-06-29,1.38,1.75,2.20,3.92,1.50,4.70,2.20,1.36,1.71,81.5449447631836,1.218397855758667
2004-06-30,1.33,1.68,2.09,3.81,1.38,4.62,2.10,1.31,1.64,81.98159790039062,1.2162047624588013
2004-07-01,1.22,1.64,2.07,3.74,1.30,4.57,2.04,1.20,1.60,80.84347534179688,1.2311025857925415
2004-07-02,1.30,1.61,2.02,3.62,1.21,4.48,1.96,1.27,1.57,80.80050659179688,
2004-07-05,,,,,,,,,,,1.2285012006759644
2004-07-06,1.34,1.68,2.15,3.65,1.23,4.49,1.97,1.32,1.64,80.09185791015625,1.2371032238006592
2004-07-07,1.30,1.64,2.00,3.67,1.23,4.50,2.00,1.28,1.60,80.32809448242188,1.2394952774047852
2004-07-08,1.27,1.63,1.99,3.65,1.22,4.49,2.02,1.25,1.59,79.76976013183594,1.241896629333496
2004-07-09,1.28,1.63,2.00,3.64,1.23,4.49,2.02,1.25,1.59,79.97733306884766,
2004-07-12,1.34,1.67,2.02,3.62,1.24,4.46,2.02,1.32,1.64,80.01311492919922,1.2333041429519653
2004-07-13,1.34,1.69,2.05,3.66,1.26,4.50,2.03,1.32,1.65,80.07038116455078,1.2384973764419556
2004-07-14,1.34,1.69,2.08,3.68,1.27,4.50,2.02,1.32,1.65,79.82699584960938,1.235605239868164
2004-07-15,1.35,1.68,2.11,3.69,1.27,4.50,2.01,1.32,1.64,79.31163024902344,1.245593786239624
2004-07-16,1.35,1.66,2.08,3.56,1.19,4.38,1.94,1.32,1.62,79.2472152709961,
2004-07-19,1.35,1.68,2.10,3.57,1.21,4.38,1.96,1.33,1.65,78.9107894897461,1.2333954572677612
2004-07-20,1.36,1.70,2.13,3.68,1.32,4.47,2.05,1.34,1.66,79.91291046142578,1.226301670074463
2004-07-21,1.35,1.71,2.14,3.72,1.35,4.50,2.05,1.33,1.67,78.43833923339844,1.2255953550338745
2004-07-22,1.37,1.71,2.12,3.71,1.34,4.48,2.03,1.34,1.67,78.65309143066406,1.2095993757247925
2004-07-23,1.38,1.71,2.12,3.69,1.31,4.45,2.00,1.35,1.67,77.99456024169922,
2004-07-26,1.45,1.78,2.18,3.73,1.37,4.49,2.05,1.43,1.74,77.84420776367188,1.2064036130905151
2004-07-27,1.46,1.79,2.19,3.85,1.47,4.62,2.15,1.44,1.75,78.57432556152344,1.2043983936309814
2004-07-28,1.46,1.78,2.17,3.82,1.42,4.61,2.11,1.43,1.74,78.8105697631836,1.2038040161132812
2004-07-29,1.45,1.77,2.15,3.80,1.37,4.60,2.07,1.42,1.73,79.14700317382812,1.2016053199768066
2004-07-30,1.45,1.77,2.13,3.71,1.30,4.50,2.01,1.42,1.72,79.34024047851562,
2004-08-02,1.50,1.78,2.12,3.68,1.26,4.48,2.00,1.48,1.74,79.50489807128906,1.2052984237670898
2004-08-03,1.48,1.77,2.11,3.67,1.24,4.45,1.98,1.46,1.73,78.8892822265625,1.2059961557388306
2004-08-04,1.49,1.76,2.11,3.66,1.27,4.45,2.00,1.46,1.72,78.88213348388672,1.2051968574523926
2004-08-05,1.48,1.75,2.09,3.64,1.23,4.43,1.96,1.45,1.71,77.5937271118164,1.2307995557785034
2004-08-06,1.44,1.67,1.91,3.40,1.06,4.24,1.82,1.41,1.63,76.48419189453125,
2004-08-09,1.51,1.73,1.97,3.45,1.08,4.28,1.85,1.49,1.69,76.59156799316406,1.2236007452011108
2004-08-10,1.50,1.75,2.01,3.52,1.17,4.32,1.90,1.48,1.71,77.57935333251953,1.222195029258728
2004-08-11,1.44,1.73,2.00,3.51,1.13,4.30,1.86,1.42,1.69,77.42188262939453,1.223900318145752
2004-08-12,1.43,1.73,1.99,3.47,1.07,4.27,1.81,1.41,1.69,76.57721710205078,1.237593173980713
2004-08-13,1.44,1.72,1.97,3.42,1.01,4.22,1.77,1.41,1.68,76.72755432128906,
2004-08-16,1.49,1.77,2.01,3.45,1.06,4.26,1.82,1.47,1.73,77.52208709716797,1.2345069646835327
2004-08-17,1.48,1.75,1.98,3.39,1.06,4.21,1.82,1.46,1.71,77.95875549316406,1.2340041399002075
2004-08-18,1.49,1.74,1.97,3.41,1.09,4.23,1.83,1.46,1.70,78.76045227050781,1.2371950149536133
2004-08-19,1.48,1.73,1.96,3.39,1.00,4.22,1.76,1.45,1.69,78.53141784667969,1.2321947813034058
2004-08-20,1.49,1.74,1.98,3.42,1.06,4.24,1.79,1.46,1.70,79.08258819580078,
2004-08-23,1.54,1.80,2.03,3.46,1.13,4.28,1.86,1.52,1.76,78.88213348388672,1.2081964015960693
2004-08-24,1.54,1.80,2.03,3.46,1.16,4.28,1.87,1.52,1.76,78.9895248413086,1.208605170249939
2004-08-25,1.54,1.79,2.03,3.46,1.17,4.26,1.88,1.52,1.75,79.5263900756836,1.2099066972732544
2004-08-26,1.55,1.79,2.02,3.42,1.14,4.22,1.86,1.52,1.75,79.5263900756836,1.2019952535629272
2004-08-27,1.56,1.80,2.03,3.43,1.14,4.23,1.86,1.53,1.76,79.77688598632812,
2004-08-30,1.61,1.83,2.04,3.40,1.12,4.19,1.83,1.59,1.79,79.11833953857422,1.2178043127059937
2004-08-31,1.59,1.79,1.99,3.33,1.06,4.13,1.78,1.57,1.75,79.53353881835938,1.2190067768096924
2004-09-01,1.58,1.79,1.99,3.32,1.04,4.13,1.77,1.55,1.75,79.68387603759766,1.217300295829773
2004-09-02,1.60,1.80,2.02,3.40,1.08,4.20,1.83,1.57,1.76,80.58577728271484,1.205501914024353
2004-09-03,1.65,1.87,2.12,3.52,1.16,4.30,1.88,1.62,1.83,80.25650024414062,
2004-09-06,,,,,,,,,,,1.2099066972732544
2004-09-07,1.66,1.91,2.13,3.48,1.14,4.26,1.86,1.64,1.87,80.78620147705078,1.2189027070999146
2004-09-08,1.65,1.88,2.09,3.40,1.10,4.18,1.82,1.62,1.84,80.58577728271484,1.2242000102996826
2004-09-09,1.64,1.88,2.09,3.41,1.11,4.22,1.83,1.61,1.84,80.51416778564453,1.2272950410842896
2004-09-10,1.66,1.87,2.08,3.40,1.14,4.19,1.83,1.63,1.83,80.92936706542969,
2004-09-13,1.66,1.89,2.10,3.38,1.11,4.16,1.81,1.64,1.85,81.19419860839844,1.2260010242462158
2004-09-14,1.66,1.88,2.08,3.35,1.11,4.15,1.81,1.63,1.84,81.35881042480469,1.215701937675476
2004-09-15,1.67,1.88,2.09,3.39,1.16,4.18,1.86,1.64,1.84,80.74322509765625,1.2190067768096924
2004-09-16,1.67,1.87,2.06,3.29,1.12,4.08,1.81,1.64,1.83,80.98662567138672,1.2182048559188843
2004-09-17,1.71,1.90,2.11,3.35,1.17,4.14,1.85,1.68,1.86,81.3309097290039,
2004-09-20,1.73,1.92,2.10,3.28,1.09,4.07,1.80,1.70,1.88,80.84213256835938,1.2328935861587524
2004-09-21,1.72,1.93,2.12,3.28,1.14,4.05,1.80,1.69,1.89,81.19434356689453,1.2266929149627686
2004-09-22,1.71,1.93,2.12,3.26,1.09,4.00,1.73,1.68,1.89,80.18086242675781,1.22720468044281
2004-09-23,1.72,1.95,2.16,3.30,1.11,4.02,1.76,1.69,1.91,79.74958038330078,1.227596402168274
2004-09-24,1.73,1.99,2.20,3.33,1.13,4.04,1.78,1.70,1.94,80.11616516113281,
2004-09-27,1.74,2.00,2.20,3.29,1.04,4.01,1.72,1.72,1.96,79.6058349609375,1.232103705406189
2004-09-28,1.72,1.99,2.18,3.28,1.00,4.02,1.70,1.69,1.95,79.98680877685547,1.2336997985839844
2004-09-29,1.72,1.99,2.20,3.37,1.07,4.10,1.76,1.69,1.95,80.38929748535156,1.2433944940567017
2004-09-30,1.71,2.00,2.21,3.38,1.05,4.14,1.77,1.68,1.95,80.33183288574219,1.2414957284927368
