date,m6 yield,y5 yield,y10 yield,spy,eur_usd,CPI,GDP,FFER,y,class,dir
2006-12-01,5.05,4.39,4.43,104.68402099609375,1.334098219871521,2.54065,0.945328048,5.26,1.3336000442504883,50,-1.0
2006-12-04,5.04,4.39,4.43,105.48285675048828,1.3336000442504883,2.54065,0.945328048,5.26,1.331894874572754,50,-1.0
2006-12-05,5.03,4.39,4.45,105.93828582763672,1.331894874572754,2.54065,0.945328048,5.26,1.3286564350128174,50,-1.0
2006-12-06,5.05,4.44,4.48,105.84870147705078,1.3286564350128174,2.54065,0.945328048,5.25,1.3286035060882568,50,-1.0
2006-12-07,5.05,4.45,4.49,105.38581085205078,1.3286035060882568,2.54065,0.945328048,5.25,1.3394052982330322,50,1.0
2006-12-08,5.08,4.53,4.56,105.57994842529297,1.3394052982330322,2.54065,0.945328048,5.25,1.325100064277649,50,-1.0
2006-12-11,5.07,4.5,4.52,105.8860092163086,1.325100064277649,2.54065,0.945328048,5.25,1.3284975290298462,50,1.0
2006-12-12,5.06,4.45,4.49,105.80387878417969,1.3284975290298462,2.54065,0.945328048,5.25,1.3218071460723877,50,-1.0
2006-12-13,5.07,4.54,4.58,105.91588592529297,1.3218071460723877,2.54065,0.945328048,5.24,1.3156510591506958,40,-1.0
2006-12-14,5.08,4.58,4.6,106.84910583496094,1.3156510591506958,2.54065,0.945328048,5.24,1.3098949193954468,40,-1.0
2006-12-15,5.07,4.57,4.6,106.85882568359375,1.3098949193954468,2.54065,0.945328048,5.24,1.3105987310409546,40,1.0
2006-12-18,5.09,4.57,4.6,106.5660629272461,1.3105987310409546,2.54065,0.945328048,5.24,1.3207073211669922,50,1.0
2006-12-19,5.08,4.57,4.6,106.76876068115234,1.3207073211669922,2.54065,0.945328048,5.24,1.318704605102539,40,-1.0
2006-12-20,5.08,4.57,4.6,106.70869445800781,1.318704605102539,2.54065,0.945328048,5.25,1.3183915615081787,40,-1.0
2006-12-21,5.06,4.52,4.55,106.31830596923828,1.3183915615081787,2.54065,0.945328048,5.25,1.3136979341506958,40,-1.0
2006-12-22,5.08,4.59,4.63,105.66519927978516,1.3136979341506958,2.54065,0.945328048,5.25,1.3135944604873657,40,-1.0
2006-12-25,5.08,4.59,4.63,105.66519927978516,1.3135944604873657,2.54065,0.945328048,5.25,1.310994029045105,40,-1.0
2006-12-26,5.11,4.58,4.61,106.2883071899414,1.310994029045105,2.54065,0.945328048,5.25,1.312508225440979,40,1.0
2006-12-27,5.1,4.64,4.66,106.98643493652344,1.312508225440979,2.54065,0.945328048,5.24,1.3148033618927002,40,1.0
2006-12-28,5.1,4.69,4.7,106.76126098632812,1.3148033618927002,2.54065,0.945328048,5.24,1.3198009729385376,50,1.0
2006-12-29,5.09,4.7,4.71,106.31830596923828,1.3198009729385376,2.54065,0.945328048,5.24,1.3218945264816284,50,1.0
2007-01-01,5.09,4.7,4.71,106.31830596923828,1.3218945264816284,2.075643,0.235493107,5.24,1.3275980949401855,50,1.0
2007-01-02,5.11,4.68,4.68,106.31830596923828,1.3275980949401855,2.075643,0.235493107,5.24,1.3171066045761108,40,-1.0
2007-01-03,5.09,4.66,4.67,106.1306381225586,1.3171066045761108,2.075643,0.235493107,5.22,1.3092947006225586,40,-1.0
2007-01-04,5.07,4.61,4.62,106.35584259033203,1.3092947006225586,2.075643,0.235493107,5.22,1.2984988689422607,40,-1.0
2007-01-05,5.09,4.65,4.65,105.50751495361328,1.2984988689422607,2.075643,0.235493107,5.22,1.3040019273757935,40,1.0
2007-01-08,5.13,4.66,4.66,105.99552917480469,1.3040019273757935,2.075643,0.235493107,5.22,1.2996971607208252,40,-1.0
2007-01-09,5.13,4.65,4.66,105.90541076660156,1.2996971607208252,2.075643,0.235493107,5.22,1.2939958572387695,40,-1.0
2007-01-10,5.13,4.68,4.69,106.25826263427734,1.2939958572387695,2.075643,0.235493107,5.23,1.289507269859314,40,-1.0
2007-01-11,5.15,4.73,4.74,106.72370910644531,1.289507269859314,2.075643,0.235493107,5.23,1.292808175086975,40,1.0
2007-01-12,5.15,4.76,4.77,107.53451538085938,1.292808175086975,2.075643,0.235493107,5.23,1.2935941219329834,40,1.0
2007-01-15,5.15,4.76,4.77,107.53451538085938,1.2935941219329834,2.075643,0.235493107,5.23,1.2920063734054565,40,-1.0
2007-01-16,5.16,4.74,4.75,107.32431030273438,1.2920063734054565,2.075643,0.235493107,5.23,1.2939958572387695,40,1.0
2007-01-17,5.16,4.78,4.79,107.3693618774414,1.2939958572387695,2.075643,0.235493107,5.24,1.2960922718048096,40,1.0
