"Date","Price","Open","High","Low","Change %"
"Jan 12, 2014","1.3541","1.3670","1.3700","1.3517","-0.94%"
"Jan 05, 2014","1.3670","1.3590","1.3689","1.3550","0.60%"
"Dec 29, 2013","1.3588","1.3744","1.3821","1.3582","-1.12%"
"Dec 22, 2013","1.3742","1.3670","1.3893","1.3654","0.51%"
"Dec 15, 2013","1.3672","1.3739","1.3811","1.3624","-0.52%"
"Dec 08, 2013","1.3743","1.3721","1.3812","1.3694","0.27%"
"Dec 01, 2013","1.3706","1.3590","1.3708","1.3525","0.85%"
"Nov 24, 2013","1.3590","1.3550","1.3622","1.3491","0.24%"
"Nov 17, 2013","1.3558","1.3501","1.3578","1.3399","0.47%"
"Nov 10, 2013","1.3495","1.3361","1.3506","1.3344","0.93%"
"Nov 03, 2013","1.3371","1.3489","1.3548","1.3296","-0.86%"
"Oct 27, 2013","1.3487","1.3805","1.3819","1.3481","-2.30%"
"Oct 20, 2013","1.3805","1.3687","1.3833","1.3650","0.88%"
"Oct 13, 2013","1.3685","1.3544","1.3704","1.3472","1.06%"
"Oct 06, 2013","1.3542","1.3556","1.3608","1.3486","-0.12%"
"Sep 29, 2013","1.3558","1.3479","1.3646","1.3467","0.27%"
"Sep 22, 2013","1.3522","1.3546","1.3565","1.3461","-0.01%"
"Sep 15, 2013","1.3524","1.3307","1.3570","1.3297","1.73%"
"Sep 08, 2013","1.3294","1.3170","1.3326","1.3160","0.86%"
"Sep 01, 2013","1.3180","1.3233","1.3237","1.3104","-0.32%"
"Aug 25, 2013","1.3222","1.3384","1.3401","1.3175","-1.20%"
"Aug 18, 2013","1.3382","1.3327","1.3453","1.3298","0.40%"
"Aug 11, 2013","1.3329","1.3338","1.3380","1.3205","-0.10%"
"Aug 04, 2013","1.3343","1.3274","1.3401","1.3232","0.45%"
"Jul 28, 2013","1.3283","1.3274","1.3346","1.3190","0.03%"
"Jul 21, 2013","1.3279","1.3140","1.3297","1.3129","1.04%"
"Jul 14, 2013","1.3142","1.3066","1.3176","1.2994","0.57%"
"Jul 07, 2013","1.3068","1.2826","1.3203","1.2756","1.84%"
"Jun 30, 2013","1.2832","1.3007","1.3080","1.2807","-1.37%"
"Jun 23, 2013","1.3010","1.3117","1.3152","1.2985","-0.86%"
"Jun 16, 2013","1.3123","1.3341","1.3416","1.3099","-1.68%"
"Jun 09, 2013","1.3347","1.3207","1.3391","1.3177","0.94%"
"Jun 02, 2013","1.3223","1.2983","1.3305","1.2955","1.72%"
"May 26, 2013","1.2999","1.2929","1.3065","1.2841","0.52%"
"May 19, 2013","1.2932","1.2812","1.3001","1.2805","0.72%"
"May 12, 2013","1.2839","1.2957","1.3029","1.2796","-1.19%"
"May 05, 2013","1.2993","1.3114","1.3195","1.2936","-0.93%"
"Apr 28, 2013","1.3115","1.3031","1.3244","1.3028","0.67%"
"Apr 21, 2013","1.3028","1.3081","1.3095","1.2957","-0.18%"
"Apr 14, 2013","1.3052","1.3132","1.3202","1.3001","-0.46%"
"Apr 07, 2013","1.3112","1.2974","1.3139","1.2962","0.94%"
"Mar 31, 2013","1.2990","1.2814","1.3041","1.2746","1.33%"
"Mar 24, 2013","1.2820","1.2973","1.3051","1.2752","-1.29%"
"Mar 17, 2013","1.2988","1.2959","1.3011","1.2845","-0.67%"
"Mar 10, 2013","1.3076","1.2999","1.3109","1.2912","0.54%"
"Mar 03, 2013","1.3006","1.3018","1.3136","1.2957","-0.12%"
"Feb 24, 2013","1.3022","1.3176","1.3319","1.2967","-1.27%"
"Feb 17, 2013","1.3190","1.3359","1.3436","1.3146","-1.29%"
"Feb 10, 2013","1.3363","1.3359","1.3521","1.3306","-0.01%"
"Feb 03, 2013","1.3365","1.3643","1.3660","1.3354","-2.02%"
"Jan 27, 2013","1.3640","1.3464","1.3712","1.3414","1.32%"
"Jan 20, 2013","1.3462","1.3321","1.3481","1.3264","1.07%"
"Jan 13, 2013","1.3319","1.3342","1.3405","1.3258","-0.19%"
"Jan 06, 2013","1.3344","1.3071","1.3366","1.3017","2.10%"
"Dec 30, 2012","1.3069","1.3213","1.3301","1.2999","-1.11%"
"Dec 23, 2012","1.3216","1.3190","1.3287","1.3167","0.21%"
"Dec 16, 2012","1.3188","1.3190","1.3310","1.3144","0.19%"
"Dec 09, 2012","1.3163","1.2902","1.3175","1.2880","1.83%"
"Dec 02, 2012","1.2927","1.2986","1.3129","1.2881","-0.45%"
"Nov 25, 2012","1.2986","1.2973","1.3028","1.2879","0.08%"
"Nov 18, 2012","1.2976","1.2738","1.2992","1.2729","1.82%"
"Nov 11, 2012","1.2744","1.2712","1.2803","1.2662","0.28%"
"Nov 04, 2012","1.2709","1.2812","1.2877","1.2689","-1.00%"
"Oct 28, 2012","1.2837","1.2948","1.3022","1.2820","-0.81%"
"Oct 21, 2012","1.2942","1.3014","1.3085","1.2883","-0.61%"
"Oct 14, 2012","1.3022","1.2956","1.3140","1.2890","0.56%"
"Oct 07, 2012","1.2950","1.3030","1.3035","1.2824","-0.64%"
"Sep 30, 2012","1.3034","1.2859","1.3072","1.2803","1.37%"
"Sep 23, 2012","1.2858","1.2980","1.2990","1.2828","-0.94%"
"Sep 16, 2012","1.2980","1.3127","1.3169","1.2919","-1.12%"
"Sep 09, 2012","1.3127","1.2809","1.3171","1.2755","2.43%"
"Sep 02, 2012","1.2816","1.2567","1.2818","1.2501","1.90%"
"Aug 26, 2012","1.2577","1.2512","1.2638","1.2465","0.51%"
"Aug 19, 2012","1.2513","1.2344","1.2590","1.2294","1.45%"
"Aug 12, 2012","1.2334","1.2280","1.2386","1.2255","0.36%"
"Aug 05, 2012","1.2290","1.2378","1.2443","1.2239","-0.78%"
"Jul 29, 2012","1.2387","1.2342","1.2406","1.2134","0.55%"
"Jul 22, 2012","1.2319","1.2119","1.2390","1.2041","1.33%"
"Jul 15, 2012","1.2157","1.2255","1.2322","1.2144","-0.78%"
"Jul 08, 2012","1.2252","1.2271","1.2334","1.2161","-0.29%"
"Jul 01, 2012","1.2288","1.2672","1.2674","1.2260","-2.94%"
"Jun 24, 2012","1.2660","1.2553","1.2694","1.2407","0.72%"
"Jun 17, 2012","1.2570","1.2722","1.2749","1.2520","-0.54%"
"Jun 10, 2012","1.2638","1.2659","1.2670","1.2443","0.97%"
"Jun 03, 2012","1.2517","1.2433","1.2626","1.2386","0.66%"
"May 27, 2012","1.2435","1.2569","1.2626","1.2288","-0.66%"
"May 20, 2012","1.2517","1.2783","1.2826","1.2497","-2.08%"
"May 13, 2012","1.2783","1.2882","1.2905","1.2641","-1.04%"
"May 06, 2012","1.2917","1.3030","1.3067","1.2905","-1.27%"
"Apr 29, 2012","1.3083","1.3241","1.3285","1.3079","-1.30%"
"Apr 22, 2012","1.3255","1.3194","1.3273","1.3106","0.23%"
"Apr 15, 2012","1.3224","1.3068","1.3228","1.2995","1.12%"
"Apr 08, 2012","1.3077","1.3102","1.3215","1.3034","-0.15%"
"Apr 01, 2012","1.3096","1.3360","1.3382","1.3035","-1.86%"
"Mar 25, 2012","1.3344","1.3272","1.3386","1.3191","0.53%"
"Mar 18, 2012","1.3273","1.3181","1.3295","1.3135","0.74%"
"Mar 11, 2012","1.3175","1.3112","1.3193","1.3004","0.47%"
"Mar 04, 2012","1.3114","1.3190","1.3291","1.3096","-0.67%"
"Feb 26, 2012","1.3203","1.3466","1.3487","1.3188","-1.89%"
"Feb 19, 2012","1.3457","1.3187","1.3489","1.3175","2.32%"
"Feb 12, 2012","1.3152","1.3207","1.3283","1.2973","-0.17%"
"Feb 05, 2012","1.3175","1.3113","1.3323","1.3028","0.24%"
"Jan 29, 2012","1.3144","1.3224","1.3230","1.3024","-0.62%"
"Jan 22, 2012","1.3226","1.2872","1.3230","1.2872","2.23%"
"Jan 15, 2012","1.2938","1.2637","1.2986","1.2624","2.06%"
"Jan 08, 2012","1.2677","1.2691","1.2879","1.2624","-0.35%"
"Jan 01, 2012","1.2721","1.2938","1.3077","1.2696","-1.75%"
"Dec 25, 2011","1.2948","1.3047","1.3085","1.2858","-0.73%"
"Dec 18, 2011","1.3043","1.3045","1.3199","1.2982","0.06%"
"Dec 11, 2011","1.3035","1.3384","1.3388","1.2947","-2.54%"
"Dec 04, 2011","1.3375","1.3438","1.3489","1.3283","-0.21%"
"Nov 27, 2011","1.3403","1.3318","1.3549","1.3258","1.28%"
"Nov 20, 2011","1.3234","1.3506","1.3569","1.3211","-2.04%"
"Nov 13, 2011","1.3510","1.3807","1.3813","1.3422","-1.76%"
"Nov 06, 2011","1.3752","1.3838","1.3861","1.3483","-0.32%"
"Oct 30, 2011","1.3796","1.4150","1.4171","1.3610","-2.49%"
"Oct 23, 2011","1.4148","1.3866","1.4249","1.3798","1.81%"
"Oct 16, 2011","1.3896","1.3885","1.3916","1.3653","0.14%"
"Oct 09, 2011","1.3877","1.3397","1.3896","1.3378","3.74%"
"Oct 02, 2011","1.3377","1.3338","1.3527","1.3147","-0.07%"
"Sep 25, 2011","1.3386","1.3509","1.3691","1.3363","-0.83%"
"Sep 18, 2011","1.3498","1.3673","1.3791","1.3385","-2.19%"
"Sep 11, 2011","1.3800","1.3570","1.3939","1.3502","1.08%"
"Sep 04, 2011","1.3653","1.4167","1.4277","1.3628","-3.89%"
"Aug 28, 2011","1.4205","1.4498","1.4551","1.4184","-2.03%"
"Aug 21, 2011","1.4499","1.4376","1.4503","1.4327","0.70%"
"Aug 14, 2011","1.4398","1.4261","1.4520","1.4259","1.05%"
"Aug 07, 2011","1.4249","1.4386","1.4402","1.4103","-0.23%"
"Jul 31, 2011","1.4282","1.4359","1.4455","1.4056","-0.79%"
"Jul 24, 2011","1.4396","1.4397","1.4537","1.4229","0.28%"
"Jul 17, 2011","1.4356","1.4114","1.4441","1.4012","1.43%"
"Jul 10, 2011","1.4153","1.4218","1.4284","1.3838","-0.82%"
"Jul 03, 2011","1.4270","1.4543","1.4580","1.4207","-1.76%"
"Jun 26, 2011","1.4525","1.4193","1.4554","1.4104","2.34%"
"Jun 19, 2011","1.4193","1.4275","1.4444","1.4128","-0.82%"
"Jun 12, 2011","1.4311","1.4331","1.4501","1.4074","-0.26%"
"Jun 05, 2011","1.4348","1.4630","1.4699","1.4323","-1.97%"
"May 29, 2011","1.4637","1.4315","1.4645","1.4257","2.19%"
"May 22, 2011","1.4324","1.4132","1.4325","1.3971","1.19%"
"May 15, 2011","1.4155","1.4081","1.4348","1.4049","0.24%"
"May 08, 2011","1.4121","1.4370","1.4444","1.4067","-1.32%"
"May 01, 2011","1.4310","1.4825","1.4941","1.4310","-3.32%"
"Apr 24, 2011","1.4802","1.4561","1.4884","1.4495","1.69%"
"Apr 17, 2011","1.4556","1.4418","1.4650","1.4156","0.86%"
"Apr 10, 2011","1.4432","1.4456","1.4523","1.4365","-0.34%"
"Apr 03, 2011","1.4481","1.4226","1.4491","1.4152","1.76%"
"Mar 27, 2011","1.4231","1.4048","1.4248","1.4022","1.04%"
"Mar 20, 2011","1.4084","1.4184","1.4252","1.4052","-0.67%"
"Mar 13, 2011","1.4179","1.3964","1.4187","1.3855","1.93%"
"Mar 06, 2011","1.3910","1.3998","1.4040","1.3752","-0.54%"
"Feb 27, 2011","1.3985","1.3759","1.4009","1.3712","1.70%"
"Feb 20, 2011","1.3751","1.3702","1.3838","1.3525","0.39%"
"Feb 13, 2011","1.3697","1.3510","1.3718","1.3428","1.09%"
"Feb 06, 2011","1.3549","1.3564","1.3747","1.3498","-0.27%"
"Jan 30, 2011","1.3586","1.3599","1.3862","1.3542","-0.20%"
"Jan 23, 2011","1.3613","1.3638","1.3760","1.3537","-0.04%"
"Jan 16, 2011","1.3618","1.3384","1.3629","1.3246","1.80%"
"Jan 09, 2011","1.3377","1.2882","1.3458","1.2873","3.55%"
"Jan 02, 2011","1.2919","1.3348","1.3436","1.2906","-3.44%"
"Dec 26, 2010","1.3379","1.3116","1.3427","1.3073","1.99%"
"Dec 19, 2010","1.3118","1.3182","1.3205","1.3056","-0.49%"
"Dec 12, 2010","1.3182","1.3207","1.3500","1.3133","-0.39%"
"Dec 05, 2010","1.3234","1.3383","1.3422","1.3164","-1.35%"
"Nov 28, 2010","1.3415","1.3285","1.3418","1.2965","1.30%"
"Nov 21, 2010","1.3243","1.3717","1.3789","1.3199","-3.24%"
"Nov 14, 2010","1.3687","1.3712","1.3752","1.3449","-0.04%"
"Nov 07, 2010","1.3693","1.4053","1.4087","1.3573","-2.43%"
"Oct 31, 2010","1.4034","1.3964","1.4284","1.3863","0.60%"
"Oct 24, 2010","1.3950","1.3958","1.4083","1.3735","-0.01%"
"Oct 17, 2010","1.3952","1.3977","1.4053","1.3699","-0.19%"
"Oct 10, 2010","1.3979","1.3995","1.4160","1.3774","0.26%"
"Oct 03, 2010","1.3943","1.3793","1.4031","1.3638","1.09%"
"Sep 26, 2010","1.3792","1.3482","1.3796","1.3383","2.23%"
"Sep 19, 2010","1.3491","1.3055","1.3498","1.3028","3.40%"
"Sep 12, 2010","1.3048","1.2709","1.3162","1.2704","2.90%"
"Sep 05, 2010","1.2680","1.2890","1.2921","1.2645","-1.67%"
"Aug 29, 2010","1.2896","1.2768","1.2900","1.2626","1.03%"
"Aug 22, 2010","1.2765","1.2706","1.2781","1.2587","0.45%"
"Aug 15, 2010","1.2708","1.2761","1.2926","1.2664","-0.35%"
"Aug 08, 2010","1.2752","1.3292","1.3310","1.2750","-4.01%"
"Aug 01, 2010","1.3285","1.3063","1.3336","1.3054","1.82%"
"Jul 25, 2010","1.3048","1.2903","1.3109","1.2877","1.09%"
"Jul 18, 2010","1.2907","1.2896","1.3031","1.2733","-0.20%"
"Jul 11, 2010","1.2933","1.2642","1.3010","1.2523","2.34%"
"Jul 04, 2010","1.2637","1.2559","1.2725","1.2481","0.59%"
"Jun 27, 2010","1.2563","1.2374","1.2616","1.2152","1.50%"
"Jun 20, 2010","1.2377","1.2440","1.2470","1.2210","-0.08%"
"Jun 13, 2010","1.2387","1.2127","1.2419","1.2116","2.26%"
"Jun 06, 2010","1.2113","1.1948","1.2155","1.1878","1.14%"
"May 30, 2010","1.1976","1.2276","1.2356","1.1956","-2.40%"
"May 23, 2010","1.2270","1.2548","1.2562","1.2155","-2.41%"
"May 16, 2010","1.2573","1.2352","1.2675","1.2145","1.70%"
"May 09, 2010","1.2363","1.2935","1.3096","1.2355","-3.13%"
"May 02, 2010","1.2762","1.3343","1.3343","1.2523","-4.03%"
"Apr 25, 2010","1.3298","1.3347","1.3416","1.3115","-0.66%"
"Apr 18, 2010","1.3386","1.3480","1.3525","1.3202","-0.84%"
"Apr 11, 2010","1.3499","1.3623","1.3694","1.3473","0.00%"
"Apr 04, 2010","1.3499","1.3491","1.3541","1.3281","-0.04%"
"Mar 28, 2010","1.3504","1.3488","1.3593","1.3384","0.68%"
"Mar 21, 2010","1.3413","1.3527","1.3572","1.3268","-0.89%"
"Mar 14, 2010","1.3534","1.3777","1.3820","1.3502","-1.66%"
"Mar 07, 2010","1.3763","1.3630","1.3798","1.3535","1.04%"
"Feb 28, 2010","1.3622","1.3625","1.3737","1.3433","-0.03%"
"Feb 21, 2010","1.3626","1.3638","1.3693","1.3451","0.08%"
"Feb 14, 2010","1.3615","1.3613","1.3790","1.3443","-0.02%"
"Feb 07, 2010","1.3618","1.3666","1.3841","1.3532","-0.34%"
"Jan 31, 2010","1.3664","1.3864","1.4028","1.3586","-1.44%"
"Jan 24, 2010","1.3864","1.4160","1.4198","1.3861","-1.94%"
"Jan 17, 2010","1.4138","1.4339","1.4414","1.4026","-1.72%"
"Jan 10, 2010","1.4385","1.4433","1.4585","1.4338","-0.19%"
"Jan 03, 2010","1.4413","1.4324","1.4484","1.4257","0.61%"
"Dec 27, 2009","1.4326","1.4378","1.4461","1.4274","-0.49%"
"Dec 20, 2009","1.4397","1.4305","1.4436","1.4217","0.38%"
"Dec 13, 2009","1.4343","1.4625","1.4686","1.4259","-1.91%"
"Dec 06, 2009","1.4623","1.4853","1.4907","1.4585","-1.54%"
"Nov 29, 2009","1.4851","1.5010","1.5141","1.4819","-0.78%"
"Nov 22, 2009","1.4967","1.4860","1.5146","1.4828","0.71%"
"Nov 15, 2009","1.4861","1.4924","1.5017","1.4798","-0.38%"
"Nov 08, 2009","1.4917","1.4887","1.5051","1.4822","0.46%"
"Nov 01, 2009","1.4849","1.4714","1.4919","1.4625","0.89%"
"Oct 25, 2009","1.4718","1.5001","1.5064","1.4684","-1.90%"
"Oct 18, 2009","1.5003","1.4895","1.5063","1.4830","0.65%"
"Oct 11, 2009","1.4906","1.4725","1.4970","1.4678","1.19%"
"Oct 04, 2009","1.4730","1.4593","1.4820","1.4582","1.08%"
"Sep 27, 2009","1.4572","1.4700","1.4723","1.4482","-0.79%"
"Sep 20, 2009","1.4688","1.4690","1.4844","1.4607","-0.15%"
"Sep 13, 2009","1.4710","1.4598","1.4769","1.4517","0.96%"
"Sep 06, 2009","1.4570","1.4311","1.4637","1.4303","1.94%"
"Aug 30, 2009","1.4293","1.4308","1.4380","1.4178","-0.04%"
"Aug 23, 2009","1.4299","1.4344","1.4407","1.4207","-0.17%"
"Aug 16, 2009","1.4323","1.4188","1.4378","1.4047","0.83%"
"Aug 09, 2009","1.4205","1.4176","1.4330","1.4085","0.12%"
"Aug 02, 2009","1.4188","1.4269","1.4449","1.4155","-0.44%"
"Jul 26, 2009","1.4250","1.4228","1.4306","1.4008","0.32%"
"Jul 19, 2009","1.4205","1.4117","1.4294","1.4110","0.75%"
"Jul 12, 2009","1.4099","1.3948","1.4168","1.3898","1.19%"
"Jul 05, 2009","1.3933","1.3958","1.4075","1.3833","-0.22%"
"Jun 28, 2009","1.3964","1.4065","1.4204","1.3930","-0.63%"
"Jun 21, 2009","1.4053","1.3952","1.4141","1.3826","0.79%"
"Jun 14, 2009","1.3943","1.3989","1.4014","1.3750","-0.58%"
"Jun 07, 2009","1.4024","1.3945","1.4180","1.3806","0.35%"
"May 31, 2009","1.3975","1.4125","1.4340","1.3933","-1.26%"
"May 24, 2009","1.4154","1.4035","1.4171","1.3793","1.14%"
"May 17, 2009","1.3994","1.3487","1.4053","1.3423","3.69%"
"May 10, 2009","1.3496","1.3649","1.3725","1.3464","-1.11%"
"May 03, 2009","1.3647","1.3285","1.3651","1.3209","2.87%"
"Apr 26, 2009","1.3266","1.3243","1.3387","1.2965","0.08%"
"Apr 19, 2009","1.3255","1.3048","1.3304","1.2886","1.64%"
"Apr 12, 2009","1.3041","1.3190","1.3394","1.3019","-1.11%"
"Apr 05, 2009","1.3188","1.3512","1.3584","1.3091","-2.19%"
"Mar 29, 2009","1.3483","1.3227","1.3519","1.3114","1.37%"
"Mar 22, 2009","1.3301","1.3634","1.3738","1.3258","-2.08%"
"Mar 15, 2009","1.3583","1.2886","1.3740","1.2837","5.09%"
"Mar 08, 2009","1.2925","1.2669","1.2959","1.2554","2.25%"
"Mar 01, 2009","1.2641","1.2626","1.2755","1.2456","-0.22%"
"Feb 22, 2009","1.2669","1.2796","1.2992","1.2603","-1.35%"
"Feb 15, 2009","1.2843","1.2790","1.2885","1.2514","-0.15%"
"Feb 08, 2009","1.2862","1.2961","1.3095","1.2721","-0.55%"
"Feb 01, 2009","1.2933","1.2770","1.3072","1.2707","1.18%"
"Jan 25, 2009","1.2782","1.2971","1.3331","1.2778","-1.62%"
"Jan 18, 2009","1.2992","1.3328","1.3388","1.2766","-2.35%"
"Jan 11, 2009","1.3304","1.3474","1.3476","1.3026","-1.01%"
"Jan 04, 2009","1.3440","1.3904","1.3966","1.3311","-3.16%"
"Dec 28, 2008","1.3879","1.4062","1.4364","1.3840","-1.31%"
"Dec 21, 2008","1.4063","1.3934","1.4126","1.3901","1.03%"
"Dec 14, 2008","1.3919","1.3370","1.4722","1.3367","4.08%"
"Dec 07, 2008","1.3373","1.2727","1.3417","1.2717","5.00%"
"Nov 30, 2008","1.2736","1.2712","1.2851","1.2550","0.30%"
"Nov 23, 2008","1.2698","1.2592","1.3083","1.2567","0.93%"
"Nov 16, 2008","1.2581","1.2535","1.2816","1.2425","-0.42%"
"Nov 09, 2008","1.2634","1.2821","1.2930","1.2390","-0.82%"
"Nov 02, 2008","1.2739","1.2751","1.3119","1.2528","0.05%"
"Oct 26, 2008","1.2733","1.2551","1.3297","1.2331","0.86%"
"Oct 19, 2008","1.2624","1.3403","1.3532","1.2498","-5.85%"
"Oct 12, 2008","1.3409","1.3559","1.3771","1.3346","-0.04%"
"Oct 05, 2008","1.3414","1.3665","1.3786","1.3259","-2.59%"
"Sep 28, 2008","1.3771","1.4522","1.4566","1.3704","-5.77%"
"Sep 21, 2008","1.4615","1.4491","1.4867","1.4438","1.03%"
"Sep 14, 2008","1.4466","1.4315","1.4543","1.4079","1.67%"
"Sep 07, 2008","1.4228","1.4385","1.4430","1.3880","-0.29%"
"Aug 31, 2008","1.4269","1.4702","1.4719","1.4197","-2.76%"
"Aug 24, 2008","1.4674","1.4788","1.4813","1.4569","-0.80%"
"Aug 17, 2008","1.4793","1.4683","1.4909","1.4630","0.71%"
"Aug 10, 2008","1.4689","1.4933","1.5084","1.4657","-2.11%"
"Aug 03, 2008","1.5006","1.5570","1.5631","1.4996","-3.60%"
"Jul 27, 2008","1.5566","1.5701","1.5770","1.5513","-0.92%"
"Jul 20, 2008","1.5710","1.5837","1.5945","1.5628","-0.87%"
"Jul 13, 2008","1.5848","1.5964","1.6040","1.5784","-0.59%"
"Jul 06, 2008","1.5942","1.5697","1.5948","1.5610","1.50%"
"Jun 29, 2008","1.5706","1.5777","1.5911","1.5653","-0.56%"
"Jun 22, 2008","1.5795","1.5629","1.5795","1.5467","1.22%"
"Jun 15, 2008","1.5605","1.5410","1.5652","1.5345","1.46%"
"Jun 08, 2008","1.5380","1.5794","1.5846","1.5302","-2.52%"
"Jun 01, 2008","1.5777","1.5558","1.5777","1.5364","1.43%"
"May 25, 2008","1.5554","1.5772","1.5820","1.5462","-1.34%"
"May 18, 2008","1.5766","1.5598","1.5816","1.5486","1.21%"
"May 11, 2008","1.5577","1.5463","1.5602","1.5366","0.61%"
"May 04, 2008","1.5483","1.5434","1.5595","1.5286","0.35%"
"Apr 27, 2008","1.5429","1.5617","1.5693","1.5360","-1.25%"
"Apr 20, 2008","1.5625","1.5813","1.6020","1.5555","-1.20%"
"Apr 13, 2008","1.5815","1.5698","1.5985","1.5671","0.05%"
"Apr 06, 2008","1.5807","1.5732","1.5914","1.5627","0.44%"
"Mar 30, 2008","1.5737","1.5811","1.5896","1.5510","-0.41%"
"Mar 23, 2008","1.5802","1.5422","1.5860","1.5342","2.40%"
"Mar 16, 2008","1.5432","1.5725","1.5906","1.5397","-1.55%"
"Mar 09, 2008","1.5675","1.5364","1.5690","1.5283","2.11%"
"Mar 02, 2008","1.5351","1.5196","1.5461","1.5147","1.12%"
"Feb 24, 2008","1.5181","1.4839","1.5240","1.4779","2.35%"
"Feb 17, 2008","1.4832","1.4679","1.4864","1.4611","1.04%"
"Feb 10, 2008","1.4680","1.4518","1.4711","1.4482","1.17%"
"Feb 03, 2008","1.4510","1.4806","1.4851","1.4440","-1.96%"
"Jan 27, 2008","1.4800","1.4682","1.4954","1.4661","0.87%"
"Jan 20, 2008","1.4672","1.4606","1.4781","1.4365","0.42%"
"Jan 13, 2008","1.4611","1.4783","1.4924","1.4589","-1.12%"
"Jan 06, 2008","1.4777","1.4747","1.4821","1.4640","0.22%"
"Dec 30, 2007","1.4745","1.4720","1.4825","1.4569","0.19%"
"Dec 23, 2007","1.4717","1.4375","1.4729","1.4360","2.44%"
"Dec 16, 2007","1.4367","1.4388","1.4455","1.4310","-0.36%"
"Dec 09, 2007","1.4419","1.4655","1.4752","1.4411","-1.62%"
"Dec 02, 2007","1.4657","1.4639","1.4772","1.4528","0.17%"
"Nov 25, 2007","1.4632","1.4823","1.4909","1.4628","-1.38%"
"Nov 18, 2007","1.4837","1.4672","1.4968","1.4619","1.21%"
"Nov 11, 2007","1.4659","1.4670","1.4726","1.4520","-0.12%"
"Nov 04, 2007","1.4676","1.4514","1.4754","1.4444","1.16%"
"Oct 28, 2007","1.4508","1.4411","1.4528","1.4374","0.77%"
"Oct 21, 2007","1.4397","1.4327","1.4398","1.4125","0.64%"
"Oct 14, 2007","1.4305","1.4181","1.4320","1.4143","0.89%"
"Oct 07, 2007","1.4179","1.4147","1.4242","1.4014","0.30%"
"Sep 30, 2007","1.4136","1.4277","1.4282","1.4031","-0.95%"
"Sep 23, 2007","1.4272","1.4091","1.4279","1.4060","1.28%"
"Sep 16, 2007","1.4091","1.3869","1.4122","1.3828","1.56%"
"Sep 09, 2007","1.3875","1.3785","1.3929","1.3767","0.78%"
"Sep 02, 2007","1.3768","1.3629","1.3800","1.3552","1.01%"
"Aug 26, 2007","1.3630","1.3672","1.3721","1.3564","-0.37%"
"Aug 19, 2007","1.3681","1.3481","1.3682","1.3451","1.52%"
"Aug 12, 2007","1.3476","1.3687","1.3710","1.3359","-1.58%"
"Aug 05, 2007","1.3693","1.3828","1.3840","1.3641","-0.59%"
"Jul 29, 2007","1.3774","1.3614","1.3820","1.3609","1.03%"
"Jul 22, 2007","1.3634","1.3837","1.3853","1.3627","-1.40%"
"Jul 15, 2007","1.3827","1.3779","1.3844","1.3752","0.31%"
"Jul 08, 2007","1.3784","1.3632","1.3815","1.3594","1.14%"
"Jul 01, 2007","1.3628","1.3542","1.3661","1.3528","0.64%"
"Jun 24, 2007","1.3542","1.3466","1.3542","1.3415","0.54%"
"Jun 17, 2007","1.3469","1.3376","1.3471","1.3372","0.61%"
"Jun 10, 2007","1.3388","1.3361","1.3390","1.3262","0.10%"
"Jun 03, 2007","1.3374","1.3444","1.3555","1.3320","-0.56%"
"May 27, 2007","1.3449","1.3446","1.3521","1.3392","0.06%"
"May 20, 2007","1.3441","1.3519","1.3529","1.3411","-0.50%"
"May 13, 2007","1.3509","1.3533","1.3611","1.3465","-0.15%"
"May 06, 2007","1.3529","1.3601","1.3628","1.3462","-0.45%"
"Apr 29, 2007","1.3590","1.3634","1.3680","1.3531","-0.46%"
"Apr 22, 2007","1.3653","1.3603","1.3683","1.3540","0.46%"
"Apr 15, 2007","1.3591","1.3556","1.3638","1.3521","0.46%"
"Apr 08, 2007","1.3529","1.3373","1.3554","1.3340","1.12%"
"Apr 01, 2007","1.3379","1.3376","1.3444","1.3320","0.16%"
"Mar 25, 2007","1.3358","1.3291","1.3403","1.3255","0.55%"
"Mar 18, 2007","1.3285","1.3320","1.3414","1.3271","-0.22%"
"Mar 11, 2007","1.3314","1.3117","1.3342","1.3110","1.53%"
"Mar 04, 2007","1.3114","1.3203","1.3213","1.3070","-0.61%"
"Feb 25, 2007","1.3194","1.3163","1.3260","1.3142","0.21%"
"Feb 18, 2007","1.3167","1.3157","1.3190","1.3079","0.20%"
"Feb 11, 2007","1.3141","1.2992","1.3174","1.2941","1.05%"
"Feb 04, 2007","1.3005","1.2965","1.3047","1.2912","0.28%"
"Jan 28, 2007","1.2969","1.2919","1.3064","1.2898","0.42%"
"Jan 21, 2007","1.2915","1.2961","1.3045","1.2875","-0.39%"
"Jan 14, 2007","1.2966","1.2927","1.3002","1.2896","0.38%"
"Jan 07, 2007","1.2917","1.3013","1.3054","1.2866","-0.66%"
"Dec 31, 2006","1.3003","1.3197","1.3298","1.2980","-1.48%"
"Dec 24, 2006","1.3199","1.3135","1.3208","1.3091","0.42%"
"Dec 17, 2006","1.3144","1.3083","1.3246","1.3053","0.47%"
"Dec 10, 2006","1.3083","1.3178","1.3293","1.3059","-0.89%"
"Dec 03, 2006","1.3201","1.3333","1.3369","1.3192","-1.01%"
"Nov 26, 2006","1.3336","1.3172","1.3350","1.3087","1.86%"
"Nov 19, 2006","1.3093","1.2831","1.3112","1.2799","2.07%"
