"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.636914747,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.58623185,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.262654605,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.986116769,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.478741091,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.007613198,
"EA19","QGDP","TOT","PC_CHGPP","Q","1995-Q3",0.235798,
"EA19","QGDP","TOT","PC_CHGPP","Q","1995-Q4",0.386472,
"EA19","QGDP","TOT","PC_CHGPP","Q","1996-Q1",0.126259,
"EA19","QGDP","TOT","PC_CHGPP","Q","1996-Q2",0.785127,
"EA19","QGDP","TOT","PC_CHGPP","Q","1996-Q3",0.514127,
"EA19","QGDP","TOT","PC_CHGPP","Q","1996-Q4",0.463813,
"EA19","QGDP","TOT","PC_CHGPP","Q","1997-Q1",0.235458,
"EA19","QGDP","TOT","PC_CHGPP","Q","1997-Q2",1.231395,
"EA19","QGDP","TOT","PC_CHGPP","Q","1997-Q3",0.776828,
"EA19","QGDP","TOT","PC_CHGPP","Q","1997-Q4",1.156763,
"EA19","QGDP","TOT","PC_CHGPP","Q","1998-Q1",0.674352,
"EA19","QGDP","TOT","PC_CHGPP","Q","1998-Q2",0.451577,
"EA19","QGDP","TOT","PC_CHGPP","Q","1998-Q3",0.546297,
"EA19","QGDP","TOT","PC_CHGPP","Q","1998-Q4",0.051266,
"EA19","QGDP","TOT","PC_CHGPP","Q","1999-Q1",1.084904,
"EA19","QGDP","TOT","PC_CHGPP","Q","1999-Q2",0.581689,
"EA19","QGDP","TOT","PC_CHGPP","Q","1999-Q3",1.157719,
"EA19","QGDP","TOT","PC_CHGPP","Q","1999-Q4",1.137033,
"EA19","QGDP","TOT","PC_CHGPP","Q","2000-Q1",1.232789,
"EA19","QGDP","TOT","PC_CHGPP","Q","2000-Q2",0.895639,
"EA19","QGDP","TOT","PC_CHGPP","Q","2000-Q3",0.55547,
"EA19","QGDP","TOT","PC_CHGPP","Q","2000-Q4",0.665764,
"EA19","QGDP","TOT","PC_CHGPP","Q","2001-Q1",0.998438,
"EA19","QGDP","TOT","PC_CHGPP","Q","2001-Q2",0.096793,
"EA19","QGDP","TOT","PC_CHGPP","Q","2001-Q3",0.136628,
